Date,No_of_Accidents,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
04-01-2023,7410,Trayodasi,Rohini,Kaulava,Subha,"24 10'34""",Vrushabha
11-05-2022,7404,Dasami,Pubha,Taitula,Vyaghata,"24 9'57""",Simha
20-01-2023,7389,Trayodasi,Mula,Vanija,Vyaghata,"24 10'37""",Dhanu
04-03-2022,7374,Vidhiya,Purva-Bhadra,Balava,Sadhya,"24 9'49""",Meena
14-10-2022,7364,Chaviti,Rohini,Balava,Vyatipata,"24 10'21""",Vrushabha
30-12-2020,7350,Punnami,Aarudra,Bawa,Bramha,"24 8'47""",Mithuna
25-11-2020,7329,Dasami,Uttara-Bhadra,Garaja,Vajra,"24 8'41""",Meena
05-02-2021,7322,Ashtami,Visakha,Kaulava,Vridhi,"24 8'53""",Tula
23-02-2022,7310,Sapthami,Visakha,Vishti,Dhruva,"24 9'48""",Tula
05-01-2023,7301,Chaturdasi,Mrugasira,Garaja,Sukla,"24 10'35""",Vrushabha
29-01-2021,7301,Padyami,Pushyami,Balava,Ayushman,"24 8'52""",Karkataka
14-01-2022,7299,Dvadasi,Rohini,Bawa,Sukla,"24 9'42""",Vrushabha
18-04-2022,7263,Vidhiya,Swati,Taitula,Siddhi,"24 9'54""",Tula
09-12-2022,7250,Padyami,Mrugasira,Kaulava,Sadhya,"24 10'29""",Vrushabha
09-12-2020,7230,Navami,Uttara,Taitula,Prithi,"24 8'43""",Kanya
20-11-2020,7229,Shasti,Uttara-Shaada,Kaulava,Ganda,"24 8'40""",Makara
13-11-2020,7228,Trayodasi,Hasta,Garaja,Prithi,"24 8'39""",Kanya
17-02-2022,7197,Padyami,Makha,Balava,Atiganda,"24 9'47""",Simha
03-01-2023,7156,Dvadasi,Kruthika,Bawa,Sadhya,"24 10'34""",Vrushabha
11-11-2020,7154,Dasami,Pubha,Vishti,Vaidhruthi,"24 8'39""",Simha
11-12-2020,7154,Ekadasi,Chitta,Balava,Sobhana,"24 8'44""",Tula
17-05-2022,7134,Padyami,Anuradha,Kaulava,Parigha,"24 9'58""",Vrushchika
12-11-2020,7112,Dvadasi,Uttara,Kaulava,Vishkambha,"24 8'39""",Kanya
10-12-2020,7097,Dasami,Hasta,Vanija,Saubhagya,"24 8'43""",Kanya
08-12-2021,7093,Panchami,Sravanam,Bawa,Dhruva,"24 9'35""",Makara
27-04-2022,7091,Dvadasi,Purva-Bhadra,Kaulava,Indra,"24 9'55""",Kumbha
30-12-2021,7076,Ekadasi,Swati,Bawa,Sukarman,"24 9'39""",Tula
27-05-2022,7073,Dvadasi,Ashwini,Taitula,Saubhagya,"24 10'0""",Mesha
31-12-2020,7067,Padyami,Punarwasu,Kaulava,Indra,"24 8'47""",Mithuna
23-01-2023,7059,Vidhiya,Sravanam,Balava,Siddhi,"24 10'38""",Makara
01-12-2020,7048,Padyami,Rohini,Balava,Siddha,"24 8'42""",Vrushabha
11-11-2022,7047,Thadiya,Rohini,Vanija,Siva,"24 10'24""",Vrushabha
25-04-2022,7024,Navami,Dhanista,Garaja,Sukla,"24 9'55""",Makara
16-02-2021,7002,Chavithi,Revathi,Vishti,Sadhya,"24 8'55""",Meena
22-12-2020,7000,Ashtami,Uttara-Bhadra,Vishti,Vyatipata,"24 8'46""",Meena
18-12-2020,6999,Chavithi,Sravanam,Vanija,Vyaghata,"24 8'45""",Makara
02-02-2022,6990,Padyami,Dhanista,Bawa,Vyatipata,"24 9'45""",Makara
05-11-2021,6989,Amavasya,Swati,Nagava,Ayushman,"24 9'30""",Tula
20-12-2022,6979,Ekadasi,Swati,Balava,Atiganda,"24 10'31""",Tula
16-12-2020,6972,Vidhiya,Purva-Shada,Balava,Vridhi,"24 8'45""",Dhanu
07-12-2021,6968,Thadiya,Purva-Shada,Garaja,Vridhi,"24 9'35""",Dhanu
18-01-2023,6932,Ekadasi,Anuradha,Bawa,Ganda,"24 10'37""",Vrushchika
09-12-2021,6915,Shasti,Dhanista,Kaulava,Vyaghata,"24 9'35""",Makara
04-11-2022,6880,Ekadasi,Purva-Bhadra,Vanija,Dhruva,"24 10'23""",Kumbha
26-01-2021,6875,Trayodasi,Mrugasira,Kaulava,Vaidhruthi,"24 8'52""",Mithuna
18-11-2021,6850,Chaturdasi,Bharani,Vanija,Vyatipata,"24 9'32""",Mesha
24-02-2022,6841,Ashtami,Anuradha,Balava,Vyaghata,"24 9'48""",Vrushchika
26-04-2022,6827,Dasami,Satabhisham,Vishti,Bramha,"24 9'55""",Kumbha
29-10-2020,6823,Trayodasi,Uttara-Bhadra,Kaulava,Vyaghata,"24 8'37""",Meena
06-04-2022,6822,Panchami,Rohini,Bawa,Ayushman,"24 9'53""",Vrushabha
17-03-2022,6813,Chaturdasi,Pubha,Garaja,Dhrithi,"24 9'51""",Simha
06-12-2021,6809,Vidhiya,Mula,Kaulava,Ganda,"24 9'35""",Dhanu
10-02-2022,6789,Navami,Rohini,Kaulava,Indra,"24 9'46""",Vrushabha
18-11-2022,6778,Navami,Pubha,Garaja,Indra,"24 10'26""",Simha
15-10-2021,6773,Dasami,Sravanam,Taitula,Dhrithi,"24 9'27""",Makara
22-01-2021,6765,Navami,Bharani,Balava,Subha,"24 8'51""",Mesha
11-04-2022,6757,Navami,Pushyami,Kaulava,Dhrithi,"24 9'53""",Karkataka
24-09-2021,6756,Thadiya,Ashwini,Vishti,Vyaghata,"24 9'25""",Mesha
13-01-2023,6751,Shasti,Uttara,Garaja,Sobhana,"24 10'36""",Kanya
17-01-2023,6751,Dasami,Visakha,Vanija,Soola,"24 10'37""",Tula
13-10-2022,6744,Thadiya,Kruthika,Vishti,Siddhi,"24 10'20""",Vrushabha
16-05-2022,6743,Punnami,Visakha,Bawa,Variyan,"24 9'58""",Tula
05-04-2022,6740,Chavithi,Kruthika,Vanija,Prithi,"24 9'53""",Vrushabha
10-11-2020,6730,Navami,Makha,Garaja,Bramha,"24 8'38""",Simha
31-05-2022,6727,Padyami,Rohini,Kimstughana,Dhrithi,"24 10'0""",Vrushabha
17-11-2022,6724,Ashtami,Makha,Kaulava,Bramha,"24 10'25""",Simha
28-12-2020,6715,Trayodasi,Rohini,Taitula,Subha,"24 8'47""",Vrushabha
04-02-2021,6710,Sapthami,Swati,Vishti,Ganda,"24 8'53""",Tula
18-05-2022,6695,Vidhiya,Jyesta,Garaja,Siddha,"24 9'58""",Vrushchika
08-11-2022,6692,Punnami,Bharani,Vishti,Vyatipata,"24 10'24""",Mesha
30-11-2020,6688,Punnami,Kruthika,Vishti,Siva,"24 8'42""",Vrushabha
25-05-2022,6684,Dasami,Uttara-Bhadra,Vishti,Prithi,"24 9'59""",Meena
22-10-2021,6682,Vidhiya,Bharani,Taitula,Siddhi,"24 9'28""",Mesha
18-11-2020,6679,Thadiya,Mula,Garaja,Dhrithi,"24 8'40""",Dhanu
01-02-2022,6673,Amavasya,Sravanam,Nagava,Siddhi,"24 9'45""",Makara
24-11-2020,6662,Dasami,Purva-Bhadra,Taitula,Harshana,"24 8'41""",Kumbha
19-05-2022,6654,Chaviti,Mula,Bawa,Sadhya,"24 9'58""",Dhanu
28-01-2022,6650,Dasami,Anuradha,Vishti,Vridhi,"24 9'44""",Vrushchika
14-12-2022,6646,Shasti,Aslesha,Garaja,Vaidhruthi,"24 10'30""",Karkataka
04-04-2022,6644,Thadiya,Bharani,Taitula,Vishkambha,"24 9'52""",Mesha
22-02-2021,6621,Dasami,Mrugasira,Taitula,Vishkambha,"24 8'55""",Mithuna
22-02-2022,6592,Shasti,Swati,Garaja,Vridhi,"24 9'48""",Tula
15-03-2022,6585,Dvadasi,Aslesha,Balava,Atiganda,"24 9'50""",Karkataka
10-11-2022,6582,Vidhiya,Kruthika,Taitula,Parigha,"24 10'24""",Vrushabha
23-11-2020,6568,Navami,Satabhisham,Balava,Vyaghata,"24 8'40""",Kumbha
14-02-2022,6555,Trayodasi,Punarwasu,Kaulava,Ayushman,"24 9'47""",Mithuna
30-12-2022,6555,Ashtami,Uttara-Bhadra,Vishti,Variyan,"24 10'33""",Meena
17-11-2021,6547,Trayodasi,Ashwini,Taitula,Siddhi,"24 9'32""",Mesha
26-08-2022,6531,Chaturdasi,Aslesha,Sakuna,Variyan,"24 10'15""",Karkataka
17-02-2021,6522,Panchami,Ashwini,Balava,Subha,"24 8'55""",Mesha
06-11-2020,6522,Panchami,Aarudra,Taitula,Siddha,"24 8'38""",Mithuna
15-01-2021,6486,Vidhiya,Sravanam,Kaulava,Siddhi,"24 8'50""",Makara
16-11-2021,6484,Dvadasi,Revathi,Balava,Vajra,"24 9'31""",Meena
15-11-2021,6483,Ekadasi,Uttara-Bhadra,Vishti,Harshana,"24 9'31""",Meena
08-12-2020,6474,Ashtami,Pubha,Balava,Vishkambha,"24 8'43""",Simha
02-09-2022,6439,Shasti,Visakha,Kaulava,Indra,"24 10'16""",Tula
06-09-2022,6434,Dasami,Purva-Shada,Garaja,Ayushman,"24 10'16""",Dhanu
23-03-2022,6424,Panchami,Anuradha,Taitula,Vajra,"24 9'51""",Vrushchika
25-01-2021,6420,Dvadasi,Mrugasira,Bawa,Indra,"24 8'52""",Vrushabha
03-11-2021,6409,Trayodasi,Hasta,Vanija,Vishkambha,"24 9'29""",Kanya
15-11-2022,6400,Shasti,Pushyami,Vanija,Sukla,"24 10'25""",Karkataka
13-12-2022,6392,Panchami,Aslesha,Kaulava,Indra,"24 10'30""",Karkataka
26-05-2022,6392,Ekadasi,Revathi,Balava,Ayushman,"24 10'0""",Meena
09-02-2022,6376,Ashtami,Kruthika,Bawa,Bramha,"24 9'46""",Mesha
19-11-2020,6366,Panchami,Purva-Shada,Bawa,Soola,"24 8'40""",Dhanu
09-02-2021,6357,Dvadasi,Purva-Shada,Taitula,Vajra,"24 8'54""",Dhanu
01-02-2021,6348,Chaviti,Pubha,Bawa,Atiganda,"24 8'53""",Simha
07-12-2022,6332,Chaturdasi,Kruthika,Vanija,Siva,"24 10'29""",Vrushabha
27-01-2021,6328,Trayodasi,Aarudra,Taitula,Vishkambha,"24 8'52""",Mithuna
15-02-2021,6322,Thadiya,Uttara-Bhadra,Garaja,Siddha,"24 8'55""",Meena
29-12-2020,6302,Chaturdasi,Mrugasira,Vanija,Sukla,"24 8'47""",Vrushabha
22-12-2021,6301,Thadiya,Pushyami,Vanija,Indra,"24 9'38""",Karkataka
05-05-2022,6299,Chavithi,Mrugasira,Vishti,Sukarman,"24 9'56""",Mithuna
26-01-2023,6297,Panchami,Uttara-Bhadra,Balava,Siva,"24 10'38""",Meena
14-12-2020,6296,Amavasya,Anuradha,Chatushpada,Dhrithi,"24 8'44""",Vrushchika
09-11-2022,6295,Padyami,Bharani,Balava,Variyan,"24 10'24""",Mesha
08-02-2021,6293,Ekadasi,Mula,Balava,Harshana,"24 8'54""",Dhanu
02-12-2021,6292,Trayodasi,Swati,Garaja,Sobhana,"24 9'34""",Tula
19-08-2022,6291,Ashtami,Kruthika,Balava,Dhruva,"24 10'14""",Mesha
06-06-2022,6286,Shasti,Makha,Taitula,Vyaghata,"24 10'2""",Simha
28-01-2023,6282,Sapthami,Ashwini,Vanija,Sadhya,"24 10'39""",Mesha
19-12-2022,6274,Dasami,Chitta,Vishti,Sobhana,"24 10'31""",Tula
02-12-2020,6268,Vidhiya,Mrugasira,Taitula,Sadhya,"24 8'42""",Mithuna
23-11-2021,6252,Chaviti,Aarudra,Bawa,Sadhya,"24 9'33""",Mithuna
02-12-2022,6236,Navami,Purva-Bhadra,Kaulava,Vajra,"24 10'28""",Meena
08-03-2022,6226,Shasti,Bharani,Kaulava,Vaidhruthi,"24 9'50""",Mesha
21-12-2020,6223,Sapthami,Purva-Bhadra,Garaja,Siddhi,"24 8'45""",Kumbha
16-02-2022,6207,Punnami,Aslesha,Vishti,Sobhana,"24 9'47""",Karkataka
13-12-2021,6206,Dasami,Revathi,Taitula,Vyatipata,"24 9'36""",Meena
01-09-2022,6201,Panchami,Swati,Bawa,Bramha,"24 10'16""",Tula
01-12-2022,6192,Ashtami,Satabhisham,Bawa,Harshana,"24 10'28""",Kumbha
04-11-2021,6182,Chaturdasi,Chitta,Sakuna,Prithi,"24 9'30""",Tula
02-03-2022,6179,Amavasya,Dhanista,Chatushpada,Siva,"24 9'49""",Kumbha
26-01-2022,6167,Ashtami,Swati,Kaulava,Soola,"24 9'44""",Tula
24-11-2021,6163,Panchami,Punarwasu,Kaulava,Subha,"24 9'33""",Mithuna
03-11-2020,6152,Vidhiya,Rohini,Garaja,Variyan,"24 8'37""",Vrushabha
07-10-2022,6139,Dvadasi,Satabhisham,Balava,Soola,"24 10'20""",Kumbha
23-09-2022,6131,Dvadasi,Aslesha,Taitula,Siddha,"24 10'18""",Karkataka
08-02-2022,6128,Sapthami,Bharani,Vanija,Sukla,"24 9'46""",Mesha
08-12-2022,6126,Punnami,Rohini,Bawa,Siddha,"24 10'29""",Vrushabha
21-10-2021,6113,Padyami,Ashwini,Balava,Vajra,"24 9'28""",Mesha
08-10-2021,6102,Vidhiya,Swati,Kaulava,Vaidhruthi,"24 9'26""",Tula
25-08-2022,6101,Trayodasi,Pushyami,Vanija,Vyatipata,"24 10'15""",Karkataka
18-06-2021,6090,Ashtami,Uttara,Vishti,Siddhi,"24 9'11""",Simha
02-07-2021,6088,Ashtami,Uttara-Bhadra,Balava,Sobhana,"24 9'13""",Meena
21-10-2020,6083,Panchami,Jyesta,Balava,Sobhana,"24 8'36""",Vrushchika
17-09-2021,6077,Ekadasi,Uttara-Shaada,Vishti,Atiganda,"24 9'24""",Makara
15-07-2022,6058,Vidhiya,Sravanam,Taitula,Vishkambha,"24 10'9""",Makara
27-10-2021,6046,Shasti,Aarudra,Vanija,Siva,"24 9'29""",Mithuna
16-11-2022,6040,Sapthami,Aslesha,Bawa,Bramha,"24 10'25""",Karkataka
03-02-2021,6039,Shasti,Chitta,Garaja,Dhrithi,"24 8'53""",Kanya
23-09-2021,6038,Vidhiya,Revathi,Garaja,Dhruva,"24 9'25""",Meena
01-12-2021,6032,Ekadasi,Chitta,Balava,Saubhagya,"24 9'34""",Kanya
14-10-2021,6026,Navami,Uttara-Shaada,Balava,Sukarman,"24 9'27""",Makara
23-05-2022,6022,Ashtami,Satabhisham,Kaulava,Indra,"24 9'59""",Kumbha
06-12-2022,6020,Trayodasi,Bharani,Taitula,Parigha,"24 10'29""",Mesha
28-01-2021,6019,Chaturdasi,Punarwasu,Vanija,Prithi,"24 8'52""",Karkataka
10-09-2021,6019,Chavithi,Chitta,Vanija,Bramha,"24 9'23""",Kanya
07-11-2022,6018,Chaturdasi,Ashwini,Garaja,Siddhi,"24 10'24""",Mesha
12-08-2022,6011,Punnami,Sravanam,Bawa,Saubhagya,"24 10'13""",Makara
30-11-2021,5988,Dasami,Hasta,Vishti,Prithi,"24 9'34""",Kanya
21-03-2022,5948,Thadiya,Swati,Vishti,Vyaghata,"24 9'51""",Tula
09-11-2020,5947,Ashtami,Aslesha,Kaulava,Sukla,"24 8'38""",Karkataka
17-11-2020,5942,Vidhiya,Jyesta,Kaulava,Sukarman,"24 8'40""",Vrushchika
24-05-2022,5939,Navami,Purva-Bhadra,Garaja,Vaidhruthi,"24 9'59""",Kumbha
02-11-2021,5935,Dvadasi,Uttara,Taitula,Vaidhruthi,"24 9'29""",Kanya
21-01-2022,5932,Thadiya,Makha,Vishti,Saubhagya,"24 9'43""",Simha
14-11-2022,5930,Shasti,Punarwasu,Garaja,Subha,"24 10'25""",Mithuna
07-10-2021,5921,Padyami,Chitta,Kimstughana,Indra,"24 9'26""",Kanya
12-03-2022,5919,Navami,Aarudra,Kaulava,Ayushman,"24 9'50""",Mithuna
15-02-2022,5919,Chaturdasi,Pushyami,Garaja,Saubhagya,"24 9'47""",Karkataka
09-09-2021,5917,Vidhiya,Hasta,Kaulava,Sukla,"24 9'23""",Kanya
11-11-2021,5911,Sapthami,Sravanam,Vanija,Ganda,"24 9'31""",Makara
10-11-2021,5907,Shasti,Uttara-Shaada,Taitula,Soola,"24 9'31""",Makara
20-10-2020,5904,Chavithi,Anuradha,Vishti,Saubhagya,"24 8'36""",Vrushchika
12-10-2022,5903,Vidhiya,Bharani,Garaja,Vajra,"24 10'20""",Mesha
24-01-2022,5903,Shasti,Hasta,Vanija,Sukarman,"24 9'44""",Kanya
22-11-2022,5902,Trayodasi,Swati,Vanija,Saubhagya,"24 10'26""",Tula
21-12-2021,5899,Vidhiya,Punarwasu,Taitula,Bramha,"24 9'38""",Mithuna
07-03-2022,5888,Panchami,Ashwini,Bawa,Indra,"24 9'49""",Mesha
06-10-2022,5880,Ekadasi,Dhanista,Vishti,Dhrithi,"24 10'20""",Makara
23-11-2022,5876,Chaturdasi,Visakha,Sakuna,Sobhana,"24 10'26""",Tula
01-11-2022,5873,Sapthami,Uttara-Shaada,Vanija,Soola,"24 10'23""",Makara
10-02-2021,5868,Trayodasi,Uttara-Shaada,Vanija,Siddhi,"24 8'54""",Makara
17-06-2022,5862,Thadiya,Uttara-Shaada,Vishti,Indra,"24 10'4""",Makara
27-01-2022,5860,Navami,Visakha,Garaja,Ganda,"24 9'44""",Tula
22-03-2022,5854,Chaviti,Visakha,Balava,Harshana,"24 9'51""",Tula
29-11-2021,5852,Navami,Uttara,Garaja,Vishkambha,"24 9'34""",Simha
16-11-2020,5843,Padyami,Anuradha,Bawa,Atiganda,"24 8'39""",Vrushchika
27-08-2021,5838,Panchami,Ashwini,Kaulava,Ganda,"24 9'22""",Mesha
20-10-2021,5833,Punnami,Revathi,Vishti,Harshana,"24 9'28""",Meena
05-10-2021,5811,Chaturdasi,Pubha,Vishti,Sukla,"24 9'26""",Simha
31-12-2022,5808,Navami,Revathi,Balava,Parigha,"24 10'34""",Meena
29-10-2021,5807,Ashtami,Pushyami,Balava,Sadhya,"24 9'29""",Karkataka
03-12-2020,5798,Thadiya,Aarudra,Vanija,Subha,"24 8'42""",Mithuna
07-09-2022,5796,Ekadasi,Uttara-Shaada,Vishti,Saubhagya,"24 10'17""",Makara
09-11-2021,5796,Panchami,Purva-Shada,Balava,Dhrithi,"24 9'30""",Dhanu
22-10-2020,5790,Shasti,Mula,Taitula,Atiganda,"24 8'36""",Dhanu
20-01-2022,5787,Vidhiya,Aslesha,Garaja,Ayushman,"24 9'43""",Karkataka
07-12-2020,5771,Sapthami,Makha,Vishti,Vaidhruthi,"24 8'43""",Simha
05-08-2022,5768,Sapthami,Swati,Vanija,Subha,"24 10'12""",Tula
18-08-2022,5762,Sapthami,Bharani,Vishti,Vridhi,"24 10'14""",Mesha
11-08-2022,5762,Chaturdasi,Uttara-Shaada,Vanija,Ayushman,"24 10'13""",Makara
21-01-2021,5760,Ashtami,Ashwini,Vishti,Sadhya,"24 8'51""",Mesha
27-12-2022,5750,Chavithi,Dhanista,Vishti,Vajra,"24 10'33""",Makara
28-10-2020,5737,Dvadasi,Purva-Bhadra,Balava,Dhruva,"24 8'37""",Kumbha
06-10-2021,5734,Amavasya,Uttara,Chatushpada,Bramha,"24 9'26""",Kanya
26-10-2021,5721,Panchami,Mrugasira,Taitula,Siva,"24 9'28""",Mithuna
16-09-2022,5712,Shasti,Kruthika,Vanija,Harshana,"24 10'18""",Vrushabha
30-08-2022,5703,Thadiya,Hasta,Taitula,Sadhya,"24 10'16""",Kanya
02-11-2020,5689,Vidhiya,Kruthika,Taitula,Vyatipata,"24 8'37""",Mesha
29-12-2022,5684,Sapthami,Purva-Bhadra,Garaja,Vyatipata,"24 10'33""",Kumbha
13-02-2021,5681,Vidhiya,Satabhisham,Balava,Parigha,"24 8'54""",Kumbha
25-10-2021,5681,Chaviti,Rohini,Balava,Parigha,"24 9'28""",Vrushabha
08-09-2021,5677,Padyami,Uttara,Bawa,Sadhya,"24 9'23""",Kanya
22-09-2021,5672,Padyami,Uttara-Bhadra,Kaulava,Vridhi,"24 9'25""",Meena
01-07-2022,5671,Vidhiya,Punarwasu,Kaulava,Vyaghata,"24 10'6""",Karkataka
07-02-2022,5664,Shasti,Ashwini,Taitula,Subha,"24 9'46""",Mesha
31-08-2022,5660,Chavithi,Chitta,Vanija,Sukla,"24 10'16""",Kanya
15-12-2020,5649,Padyami,Mula,Kimstughana,Ganda,"24 8'44""",Dhanu
27-12-2021,5646,Ashtami,Uttara,Balava,Saubhagya,"24 9'39""",Kanya
25-01-2022,5645,Sapthami,Chitta,Bawa,Dhrithi,"24 9'44""",Tula
04-11-2020,5645,Thadiya,Rohini,Vishti,Parigha,"24 8'38""",Vrushabha
14-03-2022,5644,Ekadasi,Pushyami,Vishti,Sobhana,"24 9'50""",Karkataka
03-01-2022,5633,Padyami,Purva-Shada,Kimstughana,Dhruva,"24 9'40""",Dhanu
12-12-2020,5624,Dvadasi,Swati,Taitula,Atiganda,"24 8'44""",Tula
25-06-2021,5622,Padyami,Mula,Balava,Sukla,"24 9'12""",Dhanu
12-01-2022,5613,Dasami,Bharani,Taitula,Sadhya,"24 9'42""",Mesha
28-05-2021,5606,Vidhiya,Mula,Garaja,Sadhya,"24 9'7""",Dhanu
19-10-2021,5600,Chaturdasi,Uttara-Bhadra,Garaja,Vyaghata,"24 9'28""",Meena
22-11-2021,5595,Thadiya,Mrugasira,Vanija,Siddha,"24 9'32""",Mithuna
05-11-2020,5594,Chaviti,Mrugasira,Balava,Siva,"24 8'38""",Mithuna
17-12-2022,5579,Ashtami,Uttara,Kaulava,Ayushman,"24 10'31""",Kanya
29-07-2022,5577,Padyami,Pushyami,Kimstughana,Siddhi,"24 10'11""",Karkataka
10-06-2022,5568,Dasami,Hasta,Garaja,Vyatipata,"24 10'2""",Kanya
29-01-2023,5555,Ashtami,Bharani,Bawa,Subha,"24 10'39""",Mesha
05-12-2022,5550,Dvadasi,Ashwini,Balava,Variyan,"24 10'29""",Mesha
01-09-2021,5544,Navami,Mrugasira,Garaja,Vajra,"24 9'22""",Mithuna
28-02-2022,5543,Dvadasi,Uttara-Shaada,Taitula,Variyan,"24 9'49""",Makara
13-01-2022,5539,Ekadasi,Kruthika,Vanija,Subha,"24 9'42""",Vrushabha
02-02-2021,5530,Panchami,Hasta,Kaulava,Sukarman,"24 8'53""",Kanya
15-09-2021,5528,Navami,Mula,Kaulava,Ayushman,"24 9'24""",Dhanu
20-12-2021,5520,Padyami,Aarudra,Kaulava,Sukla,"24 9'38""",Mithuna
14-01-2023,5519,Sapthami,Hasta,Vishti,Atiganda,"24 10'36""",Kanya
08-11-2021,5516,Chavithi,Mula,Vanija,Sukarman,"24 9'30""",Dhanu
21-07-2022,5515,Ashtami,Ashwini,Kaulava,Dhrithi,"24 10'10""",Mesha
12-12-2022,5515,Chaviti,Pushyami,Bawa,Bramha,"24 10'30""",Karkataka
19-08-2021,5506,Ekadasi,Purva-Shada,Vishti,Prithi,"24 9'21""",Dhanu
23-01-2021,5506,Dasami,Kruthika,Taitula,Sukla,"24 8'51""",Mesha
22-09-2022,5499,Dvadasi,Aslesha,Kaulava,Siva,"24 10'18""",Karkataka
01-07-2021,5490,Sapthami,Purva-Bhadra,Vishti,Saubhagya,"24 9'13""",Meena
07-11-2020,5483,Shasti,Punarwasu,Vanija,Sadhya,"24 8'38""",Mithuna
04-06-2021,5474,Navami,Uttara-Bhadra,Garaja,Prithi,"24 9'8""",Meena
16-09-2021,5470,Dasami,Purva-Shada,Garaja,Sobhana,"24 9'24""",Dhanu
29-09-2021,5467,Ashtami,Aarudra,Balava,Variyan,"24 9'25""",Mithuna
23-08-2022,5462,Ekadasi,Aarudra,Balava,Siddhi,"24 10'15""",Mithuna
28-12-2022,5460,Shasti,Satabhisham,Kaulava,Siddhi,"24 10'33""",Kumbha
19-01-2021,5458,Shasti,Uttara-Bhadra,Taitula,Siva,"24 8'51""",Meena
22-07-2022,5448,Navami,Bharani,Garaja,Soola,"24 10'10""",Mesha
30-04-2022,5440,Amavasya,Ashwini,Chatushpada,Prithi,"24 9'56""",Mesha
30-07-2021,5437,Shasti,Revathi,Vanija,Dhrithi,"24 9'18""",Meena
03-11-2022,5433,Dasami,Dhanista,Taitula,Vridhi,"24 10'23""",Kumbha
14-07-2022,5429,Padyami,Uttara-Shaada,Balava,Vaidhruthi,"24 10'9""",Dhanu
01-03-2022,5428,Trayodasi,Sravanam,Vanija,Parigha,"24 9'49""",Makara
09-06-2022,5426,Navami,Uttara,Kaulava,Siddhi,"24 10'2""",Kanya
16-06-2022,5405,Vidhiya,Purva-Shada,Garaja,Sukla,"24 10'3""",Dhanu
14-11-2020,5394,Chaturdasi,Swati,Vishti,Ayushman,"24 8'39""",Tula
09-08-2022,5392,Dvadasi,Mula,Bawa,Vaidhruthi,"24 10'13""",Dhanu
16-03-2022,5387,Trayodasi,Makha,Kaulava,Sukarman,"24 9'50""",Simha
11-06-2021,5386,Padyami,Mrugasira,Kimstughana,Soola,"24 9'9""",Vrushabha
31-08-2021,5372,Ashtami,Rohini,Kaulava,Harshana,"24 9'22""",Vrushabha
27-09-2021,5371,Shasti,Rohini,Garaja,Siddhi,"24 9'25""",Vrushabha
22-08-2022,5371,Dasami,Mrugasira,Vishti,Vajra,"24 10'15""",Mithuna
13-10-2021,5367,Ashtami,Purva-Shada,Vishti,Atiganda,"24 9'27""",Dhanu
21-11-2020,5365,Sapthami,Sravanam,Garaja,Vridhi,"24 8'40""",Makara
21-09-2021,5363,Punnami,Purva-Bhadra,Bawa,Ganda,"24 9'25""",Meena
20-01-2021,5362,Sapthami,Revathi,Vanija,Siddha,"24 8'51""",Meena
22-01-2023,5352,Amavasya,Uttara-Shaada,Nagava,Vajra,"24 10'38""",Makara
10-08-2022,5349,Trayodasi,Purva-Shada,Kaulava,Prithi,"24 10'13""",Dhanu
31-01-2022,5348,Chaturdasi,Uttara-Shaada,Vishti,Vajra,"24 9'45""",Dhanu
24-06-2022,5344,Ekadasi,Ashwini,Bawa,Atiganda,"24 10'5""",Mesha
20-08-2021,5330,Trayodasi,Uttara-Shaada,Kaulava,Ayushman,"24 9'21""",Dhanu
23-07-2021,5326,Chaturdasi,Purva-Shada,Vanija,Vaidhruthi,"24 9'17""",Dhanu
28-09-2021,5325,Sapthami,Mrugasira,Vishti,Vyatipata,"24 9'25""",Vrushabha
28-07-2022,5325,Amavasya,Punarwasu,Chatushpada,Vajra,"24 10'11""",Karkataka
09-07-2021,5320,Chaturdasi,Aarudra,Sakuna,Dhruva,"24 9'15""",Mithuna
24-08-2022,5309,Dvadasi,Punarwasu,Taitula,Vyatipata,"24 10'15""",Mithuna
16-10-2020,5267,Chaturdasi,Hasta,Sakuna,Indra,"24 8'35""",Kanya
11-10-2022,5246,Padyami,Ashwini,Kaulava,Harshana,"24 10'20""",Mesha
18-07-2022,5244,Panchami,Purva-Bhadra,Taitula,Sobhana,"24 10'9""",Kumbha
10-12-2022,5244,Vidhiya,Aarudra,Garaja,Subha,"24 10'30""",Mithuna
06-08-2021,5242,Trayodasi,Aarudra,Garaja,Harshana,"24 9'19""",Mithuna
23-04-2022,5240,Sapthami,Uttara-Shaada,Bawa,Siddha,"24 9'55""",Dhanu
18-01-2022,5236,Punnami,Punarwasu,Bawa,Vishkambha,"24 9'43""",Karkataka
20-07-2022,5232,Sapthami,Revathi,Bawa,Sukarman,"24 10'10""",Meena
21-09-2022,5228,Ekadasi,Pushyami,Bawa,Parigha,"24 10'18""",Karkataka
06-02-2021,5225,Navami,Anuradha,Garaja,Dhruva,"24 8'53""",Vrushchika
29-06-2021,5211,Panchami,Satabhisham,Kaulava,Prithi,"24 9'13""",Kumbha
04-10-2022,5208,Navami,Uttara-Shaada,Balava,Atiganda,"24 10'19""",Dhanu
16-01-2023,5206,Navami,Swati,Taitula,Dhrithi,"24 10'37""",Tula
30-08-2021,5201,Ashtami,Kruthika,Balava,Vyaghata,"24 9'22""",Vrushabha
