Date,No_of_Accidents,,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
01-09-2022,6201,,,,,,,
01-12-2022,6192,,,,,,,
04-11-2021,6182,,,,,,,
02-03-2022,6179,,,,,,,
26-01-2022,6167,,,,,,,
24-11-2021,6163,,,,,,,
03-11-2020,6152,,,,,,,
07-10-2022,6139,,,,,,,
23-09-2022,6131,,,,,,,
08-02-2022,6128,,,,,,,
08-12-2022,6126,,,,,,,
21-10-2021,6113,,,,,,,
08-10-2021,6102,,,,,,,
25-08-2022,6101,,,,,,,
18-06-2021,6090,,,,,,,
02-07-2021,6088,,,,,,,
21-10-2020,6083,,,,,,,
17-09-2021,6077,,,,,,,
15-07-2022,6058,,,,,,,
27-10-2021,6046,,,,,,,
16-11-2022,6040,,,,,,,
03-02-2021,6039,,,,,,,
23-09-2021,6038,,,,,,,
01-12-2021,6032,,,,,,,
14-10-2021,6026,,,,,,,
23-05-2022,6022,,,,,,,
06-12-2022,6020,,,,,,,
28-01-2021,6019,,,,,,,
10-09-2021,6019,,,,,,,
07-11-2022,6018,,,,,,,
12-08-2022,6011,,,,,,,
30-11-2021,5988,,,,,,,
21-03-2022,5948,,,,,,,
09-11-2020,5947,,,,,,,
17-11-2020,5942,,,,,,,
24-05-2022,5939,,,,,,,
02-11-2021,5935,,,,,,,
21-01-2022,5932,,,,,,,
14-11-2022,5930,,,,,,,
07-10-2021,5921,,,,,,,
12-03-2022,5919,,,,,,,
15-02-2022,5919,,,,,,,
09-09-2021,5917,,,,,,,
11-11-2021,5911,,,,,,,
10-11-2021,5907,,,,,,,
20-10-2020,5904,,,,,,,
12-10-2022,5903,,,,,,,
24-01-2022,5903,,,,,,,
22-11-2022,5902,,,,,,,
21-12-2021,5899,,,,,,,
07-03-2022,5888,,,,,,,
06-10-2022,5880,,,,,,,
23-11-2022,5876,,,,,,,
01-11-2022,5873,,,,,,,
10-02-2021,5868,,,,,,,
17-06-2022,5862,,,,,,,
27-01-2022,5860,,,,,,,
22-03-2022,5854,,,,,,,
29-11-2021,5852,,,,,,,
16-11-2020,5843,,,,,,,
27-08-2021,5838,,,,,,,
20-10-2021,5833,,,,,,,
05-10-2021,5811,,,,,,,
31-12-2022,5808,,,,,,,
29-10-2021,5807,,,,,,,
03-12-2020,5798,,,,,,,
07-09-2022,5796,,,,,,,
09-11-2021,5796,,,,,,,
22-10-2020,5790,,,,,,,
20-01-2022,5787,,,,,,,
07-12-2020,5771,,,,,,,
05-08-2022,5768,,,,,,,
18-08-2022,5762,,,,,,,
